,pitchid,pitcherid,yearid,throws,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate,type
3006,12210,231932,2015,R,72,89.34759903,-6.082575612,8.505541513999999,-1.6895305040000002,5.528795037,6.080287507,1959.307345,FB
3007,2277,221958,2017,L,73,89.40683878,7.571615779,11.40171931,2.44271907,6.215587358,6.296076794,2155.1698699999997,FB
3008,3438,771155,2017,R,75,87.22566968,-5.360678767,10.80477597,-1.147306838,6.0098856860000005,6.196580751,2072.8212320000002,FB
3009,13963,231932,2015,R,72,90.0001493,-8.604443749,1.5216511119999998,-1.750904091,5.19745408,6.002808537999999,1916.371054,CU
3010,10516,359178,2015,R,76,96.04154542,-5.345720218,10.47840599,-1.485807809,6.447217951,6.553826787999999,2464.208242,FB
3011,16970,359178,2015,R,76,95.29089596,-5.2690123589999995,11.77119676,-1.300876636,6.365956066,6.1146582910000005,2430.0140149999997,FB
3012,9882,359178,2015,R,76,96.03264235,-2.8946143839999996,12.89366703,-1.28011563,6.4550983639999995,6.310707701,2349.6630579999996,FB
3013,18859,359178,2015,R,76,92.44352842,-3.560922477,11.77741322,-1.509993624,6.297156847,6.113055144,2277.565169,FB
3014,4410,359178,2015,R,76,94.42971437,-3.4011848689999997,10.88835549,-1.49548514,6.404084706,6.1976695489999996,2253.023858,FB
3015,5258,465838,2015,L,74,93.25077116,9.657321237,7.775353618,1.559509246,6.208900441,6.1824868120000005,2118.940166,CU
3016,19145,221958,2017,L,73,87.02208097,5.060478461000001,8.451116525,2.6010982680000003,6.243020358,6.400279051,1930.0159629999998,FB
3017,4170,231932,2016,R,72,86.02461418,-3.6154676919999997,5.007213773,-1.621297098,5.600140967000001,6.336346464,1806.8714559999999,FB
3018,5,771155,2017,R,75,72.57876394,6.960214742000001,-2.2034505330000003,-1.194914559,6.093221937999999,6.264363564,2576.563436,CB
3019,8520,231932,2015,R,72,80.50946569,2.188583662,-2.812966396,-1.727267006,5.3390845339999995,6.300219113,2212.170165,SL
3020,13397,221958,2015,L,73,86.54150741,12.16683539,7.5955695379999995,2.89616873,6.158325189,5.871168806,1885.3963600000002,CU
3021,7230,771155,2017,R,75,73.76991224,8.567035777000001,-4.394233869,-1.278626802,6.028673965,6.2756831470000005,2771.032993,CB
3022,15922,771155,2017,R,75,74.76571689,-7.236068072999999,6.209739416000001,-1.047200436,6.167600976,6.3730172110000005,1462.1997800000001,SI
3023,13779,221958,2017,L,73,87.43103409999999,9.953056578,6.768851685,2.448630231,6.111782584,6.018643995,1940.225909,CU
3024,13683,771155,2017,R,75,74.40987737,-5.650485321000001,5.6678137070000005,-1.161294911,6.113023845,6.19915783,1450.236841,SI
3025,5291,771155,2017,R,75,72.82268283,8.355149437,-2.553394923,-1.4341909419999999,6.149565976,5.7981306770000005,2570.1587600000003,CB
3026,5017,465838,2015,L,74,90.9513118,9.282202143,9.826500987000001,1.396785903,6.403088771,6.4094834160000005,2136.9199129999997,CU
3027,10467,359178,2015,R,76,86.8433621,-7.890527702000001,6.869478169,-1.297338238,6.350342334,6.1596875970000005,1924.4535460000002,SI
3028,13766,221958,2016,L,73,80.32719399999999,5.049098246000001,4.668092186,2.6996262260000004,6.170122613999999,6.130948332000001,1202.159556,SI
3029,647,771155,2017,R,75,83.97731987,3.2129305880000003,8.053642327999999,-1.3375983329999999,6.084903662,6.266317733999999,2287.298717,CH
3030,14321,359178,2015,R,76,95.70009827,-2.837499625,15.51288211,-0.829467576,6.624662562,6.144607381,2525.308453,FB
3031,19118,771155,2017,R,75,73.90478459999999,7.911095971,-3.9457888530000003,-1.257439356,6.20679108,5.9831515689999994,2510.619905,CB
3032,9486,221958,2016,L,73,87.77168524,4.353289707,9.402840043,2.280276749,6.293312311,6.26118399,2166.1656329999996,FB
3033,15662,771155,2017,R,75,83.45034581,0.106624816,7.302529077000001,-1.3995181230000002,6.083131828,5.98118559,2260.994454,CH
3034,18607,221958,2016,L,73,84.15332629999999,10.495759800000002,8.314872464,2.311399867,6.334897446,6.113443713,1767.028102,CU
3035,10229,231932,2015,R,72,84.50166417,-6.845156009,0.402057581,-1.7456587430000001,5.333919025,6.117061052,1462.057916,SI
3036,8837,231932,2015,R,72,91.17242252,-7.320974456,3.863252014,-1.604444276,5.50332492,5.9425973789999995,1799.187072,CU
3037,8908,221958,2017,L,73,87.3265269,4.466854952,8.732455916000001,2.507246156,6.172911401,6.119771899,1942.938703,FB
3038,114,221958,2017,L,73,85.78603171,7.678687382000001,8.020485672000001,2.475026003,6.217685771,6.12856918,1869.8797829999999,CU
3039,16280,231932,2015,R,72,89.45528271,-7.29421754,0.188963767,-1.6927014180000002,5.244096595,6.163009424,1809.6123329999998,CU
3040,3703,221958,2015,L,73,88.38954637,7.651697622,6.295756967000001,2.798113125,5.901188922,6.20155985,1931.4890679999999,CU
3041,18600,465838,2015,L,74,80.47048778,0.859867244,1.28995472,1.564525104,6.178101161,6.107153319,2145.302184,SL
3042,12444,359178,2015,R,76,93.61236944,-3.648544236,11.30216788,-1.342392685,6.093507428,6.131356281,2324.004487,FB
3043,11814,465838,2015,L,74,91.21888194,6.274239113999999,6.580643076,1.816947355,6.245887442999999,6.041526686,2022.5436170000003,FB
3044,18232,465838,2015,L,74,81.08130795,0.562225879,0.17679044300000002,1.7088208130000002,5.815050377,6.043296515,2260.586026,SL
3045,408,231932,2015,R,72,81.80533986,2.110942642,-1.460238251,-1.717056961,5.374975349,5.954667572000001,2157.492651,SL
3046,1850,359178,2015,R,76,96.91689553,-4.978338265,10.90486026,-2.068057542,6.1541584579999995,6.331241461,2294.404197,FB
3047,15090,221958,2016,L,73,86.12330623,8.692845103,10.03172064,2.809288462,6.126536055,6.265726205,2061.122401,CU
3048,16972,231932,2015,R,72,90.21610984,-5.889428268,4.346007336,-1.643233705,5.486506878999999,5.855019175,1818.816856,CU
3049,12572,359178,2015,R,76,95.29969881,-4.0275104189999995,11.14514897,-1.643291329,6.298741187,5.868777859,2460.609852,FB
3050,9989,771155,2017,R,75,76.63069265,-7.747282028,1.5376151580000001,-0.8341534270000001,5.909739319,6.274395183999999,1573.054817,SI
3051,9255,465838,2015,L,74,78.03786016,1.68531025,0.08902905400000001,1.886718745,5.961434376000001,6.0368230270000005,2102.397796,SL
3052,18928,231932,2015,R,72,89.71841872,-8.405429756,3.8863676610000004,-1.720677693,5.313489257,6.392907221000001,1811.695491,CU
